unitid,calsys,crsloc1,crsloc2,crsloc3,crsloc4,crsloc5,crsloc6,facloc1,facloc2,facloc3,facloc4,facloc6,facloc7,facloc8,facloc9,facloc10,facloc12,mili,mil1insl,mil2insl,admreq1,admreq2,admreq3,admreq4,admreq5,admreq6,admreq7,admreq8,admreq9,admreq10,admreq11,admreq12,yrscol,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10,mode11,mode12,mode13,mode14,stusrv1,stusrv2,stusrv3,stusrv4,stusrv5,stusrv6,stusrv7,stusrv8,stusrv9,libfac,libshar1,libshar2,libshar3
"369862","2","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","1","","",""
"369871","6","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","1","","",""
"369880","2","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","1","","1","","","","","","","","","1","","","","","","","","","1","1","1","","","","","","3","","",""
"369905","2","1","","","","","","1","","","","","","","","","","2","","","1","","","","","1","","","","","1","","","","","","","","","1","","","","","","","","1","1","","1","","","1","","","1","","",""
"369923","6","1","","","","","","","","","","1","","","","","","2","","","1","","","","","","","1","","","","1","","","","","","","","1","","","","","","","","1","1","","","","","","","","3","","",""
"369932","2","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","","","","1","1","","","","","","","","1","","","","","","","","","","1","1","","","","","","1","","",""
"369950","5","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","1","","1","","","","","","","","","1","","","","","","","","","","1","1","","","","","","1","","",""
"369969","6","1","","","","","","","","","","1","","","","","","2","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","1","","","","","","","","3","","",""
"369978","5","1","","","","","","","","1","","","","","","","","2","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","3","","",""
"369987","2","1","","","","","","","","","","1","","","","","","2","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","1","","","1","","",""
"369996","1","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","1","","","","","","","","","","","1","","","","","","","","","1","","1","","","","","","3","","",""
"370013","5","1","","","","","","1","","","","","","","","","","2","","","1","","1","1","1","","","1","1","","","","","","","","","","","1","","","","","","","","","1","1","1","","","1","","","1","","",""
"370022","5","1","","","","","","","","","","1","","","","","","2","","","1","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","1","","1","","","1","","","3","","",""
"370031","6","1","","","","","","","","","","1","","","","","","2","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","3","","",""
"370040","6","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","1","1","","1","","","1","","",""
"370068","1","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","1","","","1","","","1","","",""
"371052","6","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","","","","","","","1","","","","","","","","","","","","","","1","1","1","","1","1","","","1","","",""
"371070","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"371089","2","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","","","","1","","","","1","","","","","","","","","","","","","","1","1","1","","","1","","","1","","",""
"371104","6","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","1","","","","","","1","","","","","","","","","","","","","","1","","1","","","1","","","1","","",""
"247205","5","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","1","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","",""
"247232","5","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","1","","",""
"247296","6","1","1","","1","1","","","","","","1","","","","","1","2","","","1","","","","","","","","1","","","","","","","1","1","","","","","","1","1","","","","","1","","1","1","","1","","","1","","",""
"247311","2","1","1","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","","","1","","",""
"247348","1","1","","","1","","","1","","","","","1","","","","","2","","","","","","","","","","","1","","","","","","1","","","","","","","1","","","","","","","","","","","","","","1","1","","",""
"247375","6","1","","","","","","","","","","1","","","","","","2","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","",""
"247384","5","1","","","","","","1","","","","1","","","","","","2","","","1","","1","","","1","","1","","","","","","","1","","","","","1","","","","","","","","","1","","1","","","1","","","3","","",""
"247393","5","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","1","","","","","","1","","","","","","","","","","","","","","1","","1","","","1","","","1","","",""
"247409","5","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","1","","","","","","1","","","","","","","","","","","","","","1","","1","","","1","","","1","","",""
"247418","5","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","1","","1","","","1","","","","","",""
"247436","1","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","1","","","","","","1","","","","","","","","","","","","","","1","","1","","","","","","3","","",""
"247445","1","1","1","","","","","1","","","","","","","","","","2","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","",""
"247472","6","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","1","","","1","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","",""
"247490","6","1","1","","","","","1","","","1","","","","","","","2","","","1","","1","","","1","","1","1","","1","","","","1","","","","","","","","","","","","","1","","","1","","","","","","3","","",""
"247515","5","1","","","","","","1","","","","","","","","","","2","","","","","","","","1","","1","1","","1","","","","1","","","","","1","","","","","","","","","1","1","1","","","","","","3","","",""
"247542","5","1","","","","","","1","","","","","","","","","","2","","","1","","1","","1","1","","1","1","1","","","","","1","","","","","","","","","","","","","1","1","1","1","","","","","","1","","",""
"247588","6","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","",""
"247603","1","1","","","1","","","1","1","1","1","1","1","","1","1","1","2","","","1","","","","","","1","1","","","","","","1","1","1","","1","","","1","1","","","","","","1","1","1","1","1","1","1","","","1","","",""
"247612","1","1","","","1","","","1","","","","","","","","","","2","","","1","","1","1","","","","1","","","","","4","","1","","","","","","","","","","","","","","","","","","","","","1","1","","",""
"247649","1","1","","","1","","","1","","","","","1","","","","","2","","","1","","1","","","","","1","","","1","","","","","","","","","1","","","","","","","1","1","1","1","1","","","","","","1","","",""
"247658","2","1","","","","","","1","","","","1","","","","","","2","","","1","","1","1","1","","","","","","1","","","","1","","","","","","","","","","","","1","1","1","1","1","","","1","","","1","","",""
"247667","6","1","","","","","","","","","","1","","","","","","2","","","","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","","","",""
"247694","6","1","","","","","","","","","","1","","","","","","2","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","1","3","","",""
"247700","2","1","1","","","","","1","","","1","","","","","","","1","1","","1","","","","","1","","","","","","","","1","1","","","","","1","","","","","","","","1","1","1","1","","","","","","1","","",""
"247737","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"247746","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"247755","5","1","","","","","","1","","","","","","","","","","2","","","1","","","","","1","","1","","","1","","","","1","","","","","","","","","","","","","1","1","1","1","","","","","","1","","",""
"247764","1","1","1","","1","1","","","","1","1","1","","","1","1","1","1","1","","","","","","","","","","","","1","","4","1","","","","","","","1","","","","","","","","1","","","","","","","","3","","",""
"247773","1","1","","","1","","","1","","","","","1","","","","","2","","","1","","1","","","1","","1","","","1","","","","","","","","","1","","","","","","","1","1","1","","1","","","","","1","1","","",""
"247782","6","1","1","","","","","1","","","","","","","","","","2","","","1","","1","1","","","1","1","1","","","","","","","","","","","","","","","","","","","","1","1","1","","","1","","","","","",""
"247791","6","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","","","1","","","","","","","","","1","","","","","","","","","1","1","1","","","1","","","1","","",""
"247816","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"247825","1","1","","","1","","","1","","","","","1","","","","1","2","","","1","","","1","1","","","","","","","","","","","","","","","1","","","","","","","1","1","1","1","1","","","","","","1","","",""
"247834","1","1","","1","1","","","1","","1","","","1","","1","","1","2","","","1","","","","","","","1","1","1","","","","1","1","1","","1","","","","","","","","","1","1","1","1","1","1","1","1","","","1","","",""
"247870","5","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","3","","",""
"247904","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"247940","1","1","","","1","","","1","","1","","1","1","","1","","1","2","","","1","","1","","1","1","1","1","","1","","1","","1","1","1","1","1","","","","","1","","1","","","1","1","1","1","1","1","1","","","1","","",""
"247986","5","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","1","","","","","","","","","",""
"248004","5","1","","","","","","1","","","","1","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","",""
"248031","5","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","1","","","","","","","","","","","1","","","","","","","","","1","","1","","","1","","","","","",""
"248077","6","1","","","","","","","","","","1","","","","","","2","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","1","3","","",""
"248095","6","1","","","","","","","","","","1","","","","","","2","","","1","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","1","1","","",""
"248110","5","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","1","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","1","","",""
"248165","5","1","","","","","","","","","","1","","","","","","2","","","1","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","1","","",""
"248192","","1","","","","","","","","","","","","","","","","2","","","1","","","","","1","","1","1","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","1","","",""
"248208","5","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","","1","","1","","","","","","1","","",""
"248235","6","1","","","","","","","","","","1","","","","","","2","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","","","",""
"248244","6","1","","","","","","","","","","1","","","","","","2","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","1","","",""
"248305","5","1","","","","","","1","","","","","","","","","","2","","","1","1","1","","","1","","1","1","","","","","","1","","","","","1","","","","","","","","","1","","1","","","","","","1","","",""
"248314","5","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","1","","1","","","","","","1","","",""
"248369","6","1","","","","","","","","","","1","","","","","","2","","","","","","","","","1","1","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","",""
"248439","2","1","","","","","","1","","","","","","","","","","2","","","","","1","","","1","","1","","","","","","","1","","","","","","","","","","","","","1","1","","","","","","","","3","","",""
"248518","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"248527","6","1","","","","","","1","","","","","","","","","","2","","","1","","","","","1","","1","1","","","","","","1","","","","","","","","","","","","","","1","1","1","","","","","","1","","",""
"248563","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"248606","1","1","","","1","","","1","","","","","1","1","","","","2","","","","","1","","","1","1","1","","1","","","","1","1","","","","","","1","1","","","","","","1","1","","1","","1","1","1","","1","","",""
"248615","5","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","1","3","","",""
"248624","6","1","","","1","","","1","","","","","","","1","","","2","","","1","","1","","","1","1","1","","","","","","","1","","","","","1","","","","","","","1","","1","1","1","","","1","","","1","","",""
"248633","5","","","","1","","","","","","","","","","1","","","2","","","1","","1","","","1","","1","","","1","","","","","","","","","","","1","","","","","","","1","1","1","","","","","","1","","",""
"248642","2","1","","","","","","1","","","","","","","","","","2","","","1","1","","","","","","","","","","","","","","","","","","1","","","","","","","1","","1","1","1","","","","","","1","","",""
"248651","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"248660","5","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","","1","","1","","","","","","1","","",""
"248679","3","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","","1","1","1","","","","","","1","","",""
"248688","6","1","1","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","1","1","","1","1","","","","","","1","","",""
"248703","5","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","1","","1","","","","1","","","","","","","","","","","","","","1","","","","","","","","1","","",""
"248721","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"248776","2","1","","","1","","","1","","1","","","1","","1","","","2","","","","","1","1","1","1","","1","","","1","","","1","1","","","","","","","","","","","","","1","1","1","1","1","1","1","","","3","","",""
"248794","2","1","","","1","","","1","","1","","","1","","1","1","1","2","","","1","","1","1","","1","","1","1","","","","","1","","","","","","","1","1","","","","","","1","1","1","1","1","1","1","","","1","","",""
"248846","2","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","","1","","","","","","","","","","1","","","","","","","1","1","1","1","1","","","1","","","1","","",""
"248882","2","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","","","1","","","","","","","","","","1","","","","","","","1","1","1","1","1","","","1","","","1","","",""
"248925","2","1","","","","","","1","","","1","","","","","","","2","","","1","","","","","","","1","1","","","1","","1","1","","","","","","","","","","","","","1","1","1","1","1","1","1","","","3","","",""
"248934","1","1","1","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","","","1","1","","","1","1","","","","","","","","","","","","1","1","1","1","1","","","1","","","1","","",""
"248943","1","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","","1","1","1","","","1","1","","","","","","","","","","","","1","1","1","1","1","","","1","","","1","","",""
"248952","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",""
"248970","1","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","1","1","1","","","","1","","","","","","","","","","","","","1","1","1","1","","","","","","1","","",""
"248989","6","1","","","","","","","","","","1","","","","","","2","","","","","","","","","","","","","1","1","","1","1","","","","","","","","","","","","","","","","","","","","","1","1","","",""
"249061","5","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","1","","",""
"249098","5","1","","","","","","1","","","","","","","","","","2","","","","","","","","","1","1","1","","1","","","","1","","","","","","","","","","","","","","1","1","1","","","","","","1","","",""
"249104","2","1","","","","","","1","","","","","","","","","","2","","","1","1","1","","","1","","1","1","","","","","","1","","","","","","","","","","","","","","1","","1","","","","","","","","",""
"249131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"249140","5","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","","","","1","","","","","","","","","1","","","","","","","","","1","","1","1","","1","","","1","","",""
"249159","5","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","1","1","","","","","","1","","",""
"249177","5","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","1","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","1","","",""
"249186","2","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","","","1","1","","","","","","1","","","","","","","","","","","","","","","1","1","","","","","","3","","",""
"249195","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"249229","6","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","","","1","1","","","","","","1","","",""
"249238","5","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","1","1","","1","","","","","","1","","",""
"249247","2","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","","","","","","","1","","","","","","","","","","","","","","","1","1","","","","","","1","","",""
"249265","6","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","1","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","1","","",""
"249274","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"249283","1","1","","","","","","1","","","","","","","","","","2","","","1","1","1","","","1","","1","","","","","","","","","","","","1","","","","","","","","1","1","1","1","","","","","","","","",""
"249308","6","1","","","","","","","","","","1","","","","","","2","","","","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","","1","","1","","","","","","","","",""
"249335","5","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","","","","1","1","","","","","","","","1","","","","","","","","","","1","1","","","","","1","3","","",""
"249353","5","1","","","","","","1","","","","1","","","","","","2","","","","","","","","","","1","1","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","",""
"249371","5","1","","","","","","","","1","","","","","","","","2","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","1","","","","","","3","","",""
"249414","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"249432","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"249450","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"249469","6","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","1","1","","","","","","","","","","","1","","","","","","","","1","1","","","","","1","","","1","","",""
"249496","5","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","1","","","","","","","1","","",""
"249539","6","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","1","","","","","","","","","","","","1","1","","","","","","","","","","","","1","1","","",""
"249566","5","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","1","","","","","","3","","",""
"249593","1","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","1","1","1","","","","","","1","","",""
"249609","6","1","","","","","","1","","","","1","","","","","","2","","","1","","","","","","","","1","","","","","","1","","","","","","","","","","","","","1","","1","1","","","1","","","1","","",""
"249627","6","1","1","1","","","","","","","","1","","","","","","2","","","","","","","","","","1","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","1","3","","",""
"249636","1","1","","","","","","1","","","","1","","","","","","2","","","1","","1","","","1","","","1","","","","","","1","","","","","","","","","","","","","","1","1","1","","","1","","","1","","",""
"249645","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"249663","5","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","3","","",""
"249672","6","1","","","","","","","","","","1","","","","","","2","","","","","","","","","","1","","","1","","","","1","","","","","","","","","","","","","","1","1","1","","","","","","3","","",""
"249681","2","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","1","3","","",""
"249715","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"249724","5","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","1","1","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","3","","",""
"249779","3","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","1","","1","","","","1","","","","","","1","","","","","","","1","1","1","1","","","1","","","1","","",""
"249867","6","1","","","","","","1","","","","","","","","","","2","","","","1","1","","","","","1","1","","","1","","1","1","","","","","","","","","","","","","1","1","1","1","","","1","","","","","",""
"249885","2","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","1","","1","","","","","","1","","",""
"249919","6","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","1","","1","","","","1","","","","","","","","","","","","","1","1","","1","","","","","","3","","",""
"249928","6","1","1","1","","","","","","","","1","","","","","","2","","","","","","","","","","","","","1","","","","","1","1","","","","","","","","","","","","","","","","","","","1","3","","",""
"249946","5","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","","1","","1","","","","1","","","","","","","","","","","","","","1","","1","","","","","","1","","",""
"249955","6","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","1","","","","","","1","1","","","","","","","","","","","","","","","","1","","","","","","3","","",""
"249982","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"249991","5","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","1","1","","","","","","1","","",""
"250009","5","1","","","","","","","","1","","1","","","","","","2","","","","","","","","","","1","1","","","1","","","1","","","","","1","","","","","","","","","","","","","","","","1","3","","",""
"250027","3","1","","","","","","1","","","","","","","","","","2","","","1","1","","","","","","","","","1","","","","1","","","","","","","","","","","","","1","1","1","1","","","1","","","","","",""
"250072","1","1","","","","","","1","","","","","","","","","","2","","","1","1","1","","","1","","1","1","","","","","","1","","","","","","","","","","","","","1","1","1","1","","","1","","","1","","",""
"250160","1","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","","","","1","","","","1","","","","","","","","","","","","","1","1","","1","","","","","","1","","",""
"250188","5","1","","","","","","","","1","","","","","","","","2","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","3","","",""
"250203","1","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","3","","",""
"250230","5","1","","","","","","1","","","","","","","","","","2","","","","","","","","","1","1","1","","1","","","1","1","","","","","","","","","","","","","1","1","1","1","1","1","1","","","2","","",""
"250249","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"250258","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"250285","5","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","","1","1","","","","","","","","","","1","","","","","","","","1","1","","1","","","","","","1","","",""
"250328","2","1","","","","","","","","","","1","","","","","","2","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","3","","",""
"250355","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"250382","2","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","","","1","","","","","","","","","1","","","","","","","","1","1","","1","","","1","","","1","","",""
"250407","6","1","1","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","1","1","","1","","","","","","1","","",""
"250416","6","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","1","1","1","","","","","1","1","","","","","","","","","","","","","","","1","1","","","","","","3","","",""
"250425","2","1","","","","","","1","","","","","","","","","","2","","","","","1","","","1","","1","1","","","","","","1","","","","","","","","","","","","","1","1","1","1","","","","","","1","","",""
"250461","5","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","1","1","","","","","","3","","",""
"250489","2","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","","1","","","","","","","","","","1","","","","","","","","1","1","1","1","","","","","","1","","",""
"250498","6","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","","","","","","","","","","","","1","","","","","","","","","1","","1","","","1","","","1","","",""
"250504","6","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","","","","","","","","","","","","1","","","","","","","","","1","","1","","","1","","","1","","",""
"250513","6","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","1","","1","","","","","","","","","1","","","","","","","","","1","","1","","","1","","","1","","",""
"250522","5","1","1","","","","","1","1","","","","","","","","","2","","","1","","1","","","1","","1","","","","","","","","","","","","1","","","","","","","","","1","","1","","","1","","","1","","",""
"250601","6","1","","","","","","1","","","","","","","","","","2","","","1","","","","","1","","1","","","","","","","1","","","","","","","","","","","","","","","1","1","","","1","","","","","",""
"250656","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"250683","5","1","1","","","","","1","","","","","","","","","","2","","","","","","","","","","","1","","","","","","","1","1","","","","","","","","","","","","1","","1","","","1","","","3","","",""
"250735","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"250744","2","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","1","1","1","","1","","","3","","",""
"250780","6","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","1","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","1","","",""
"250832","6","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","1","","","","","","1","","","","","","","","","","","","","","1","","1","","","","","","1","","",""
"250887","1","1","1","","","","","1","","","","1","","","","","","2","","","1","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","1","","","","","","3","","",""
"250902","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"250920","6","1","1","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","1","","","1","","","1","","","","","","","","","","","","","1","1","1","1","","","1","","","1","","",""
"250948","6","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","","1","","1","","","","","","3","","",""
"250993","1","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","1","1","","","","","","1","","","","","","","","","","","","","1","1","","","","","1","","","","","",""
"251002","2","1","","","","","","1","","","","","","","","","","2","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","1","1","1","","1","","","3","","",""
"251048","5","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","1","","","","","","","","","","","1","","","","","","","","","1","1","1","","","1","","","","","",""
"251057","5","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","1","","","","","","1","","","","","","","","","","","","","1","1","1","1","","","1","1","","1","","",""
"251075","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"251242","2","1","","","","","","1","","","","","","","","","","2","","","1","","1","","","1","","1","1","","","","","","1","","","","","","","","","","","","","1","1","1","1","","","1","","","1","","",""
