CIP 1990,CIP 2000,Level,CIP 2000 Title
480211,100308,Subject Codes Valid at Level T,Computer Typography and Composition Equipment Operator
480212,100303,Subject Codes Valid at Level G,Prepress/Desktop Publishing and Digital Imaging Design
480212,100303,Subject Codes Valid at Level T,Prepress/Desktop Publishing and Digital Imaging Design
480299,100399,Subject Codes Valid at Level G,"Graphic Communications, Other"
480299,100399,Subject Codes Valid at Level T,"Graphic Communications, Other"
490107,360119,Subject Codes Valid at Level B,Aircraft Pilot (Private)
490107,360119,Subject Codes Valid at Level G,Aircraft Pilot (Private)
490107,360119,Subject Codes Valid at Level T,Aircraft Pilot (Private)
500503,500506,Subject Codes Valid at Level B,Acting?ÿ(NEW)
500503,500506,Subject Codes Valid at Level G,Acting?ÿ(NEW)
500503,500506,Subject Codes Valid at Level T,Actingÿ?(NEW)
510205,161603,Subject Codes Valid at Level B,Sign Language Interpretation and Translation
510205,161603,Subject Codes Valid at Level G,Sign Language Interpretation and Translation
510205,161603,Subject Codes Valid at Level T,Sign Language Interpretation and Translation
510301,511504,Subject Codes Valid at Level B,Community Health Services/Liaison/Counseling
510301,511504,Subject Codes Valid at Level G,Community Health Services/Liaison/Counseling
510301,511504,Subject Codes Valid at Level T,Community Health Services/Liaison/Counseling
510804,511803,Subject Codes Valid at Level B,Ophthalmic Technician/Technologist
510804,511803,Subject Codes Valid at Level G,Ophthalmic Technician/Technologist
510804,511803,Subject Codes Valid at Level T,Ophthalmic Technician/Technologist
510807,510912,Subject Codes Valid at Level B,Physician Assistant
510807,510912,Subject Codes Valid at Level G,Physician Assistant
510807,510912,Subject Codes Valid at Level T,Physician Assistant
511301,260403,Subject Codes Valid at Level B,Anatomy
511302,260202,Subject Codes Valid at Level B,Biochemistry
511303,261101,Subject Codes Valid at Level B,Biometry/Biometrics
511304,260203,Subject Codes Valid at Level B,Biophysics
511305,260401,Subject Codes Valid at Level B,Cell/Cellular Biology and Histology
511306,260806,Subject Codes Valid at Level B,Human/Medical Genetics
511307,260507,Subject Codes Valid at Level B,Immunology
511308,260503,Subject Codes Valid at Level B,Medical Microbiology and Bacteriology
511309,260204,Subject Codes Valid at Level B,Molecular Biology
511310,260906,Subject Codes Valid at Level B,Neurobiology and Neurophysiology
511311,301901,Subject Codes Valid at Level B,Nutrition Sciences
511312,260910,Subject Codes Valid at Level B,Pathology/Experimental Pathology
511313,2609,Subject Codes Valid at Level B,"Series?ÿPhysiology, Pathology and Related Sciences"
511314,261004,Subject Codes Valid at Level B,Toxicology
511399,269999,Subject Codes Valid at Level B,"Biological and Biomedical Sciences, Other"
511615,512602,Subject Codes Valid at Level G,Home Health Aide/Home Attendant
511615,512602,Subject Codes Valid at Level T,Home Health Aide/Home Attendant
512203,261309,Subject Codes Valid at Level B,Epidemiology
512203,261309,Subject Codes Valid at Level G,Epidemiology
512203,261309,Subject Codes Valid at Level T,Epidemiology
512204,261102,Subject Codes Valid at Level B,Biostatistics
512204,261102,Subject Codes Valid at Level G,Biostatistics
512204,261102,Subject Codes Valid at Level T,Biostatistics
512303,513603,Subject Codes Valid at Level B,Hypnotherapy/Hypnotherapist
512303,513603,Subject Codes Valid at Level G,Hypnotherapy/Hypnotherapist
512303,513603,Subject Codes Valid at Level T,Hypnotherapy/Hypnotherapist
512304,513601,Subject Codes Valid at Level B,Movement Therapy and Movement Education
512304,513601,Subject Codes Valid at Level G,Movement Therapy and Movement Education
512304,513601,Subject Codes Valid at Level T,Movement Therapy and Movement Education
512702,513101,Subject Codes Valid at Level B,Dietetics/ Dietitian (RD)
512702,513101,Subject Codes Valid at Level G,Dietetics/ Dietitian (RD)
512702,513101,Subject Codes Valid at Level T,Dietetics/ Dietitian (RD)
512705,511507,Subject Codes Valid at Level B,Psychoanalysis and Psychotherapy
520403,220301,Subject Codes Valid at Level G,Legal Administrative Assistant/Secretary
520403,220301,Subject Codes Valid at Level T,Legal Administrative Assistant/Secretary
520404,510716,Subject Codes Valid at Level G,Medical Administrative/Executive Assistant and Medical Secretary
520404,510716,Subject Codes Valid at Level T,Medical Administrative/Executive Assistant and Medical Secretary
520405,220303,Subject Codes Valid at Level G,Court Reporting/Court Reporter
520405,220303,Subject Codes Valid at Level T,Court Reporting/Court Reporter
520802,521304,Subject Codes Valid at Level B,Actuarial Science
520802,521304,Subject Codes Valid at Level G,Actuarial Science
520802,521304,Subject Codes Valid at Level T,Actuarial Science
520805,521701,Subject Codes Valid at Level B,Insurance
520805,521701,Subject Codes Valid at Level G,Insurance
520805,521701,Subject Codes Valid at Level T,Insurance
520902,520904,Subject Codes Valid at Level B,Hotel/Motel Administration/Management?ÿ(NEW)
520902,520904,Subject Codes Valid at Level G,Hotel/Motel Administration/Management?ÿ(NEW)
520902,520904,Subject Codes Valid at Level T,Hotel/Motel Administration/Management?ÿ(NEW)
521202,110202,Subject Codes Valid at Level B,Computer Programming Special Applications?ÿ(NEW)
521202,110202,Subject Codes Valid at Level G,Computer Programming Special Applications?ÿ(NEW)
521202,110202,Subject Codes Valid at Level T,Computer Programming Special Applications?ÿ(NEW)
521203,110501,Subject Codes Valid at Level B,Computer Systems Analyst/Analysis
521203,110501,Subject Codes Valid at Level G,Computer Systems Analyst/Analysis
521203,110501,Subject Codes Valid at Level T,Computer Systems Analyst/Analysis
521204,110901,Subject Codes Valid at Level B,Computer Systems Networking and Telecommunications?ÿ(NEW)
521204,110901,Subject Codes Valid at Level G,Computer Systems Networking and Telecommunications?ÿ(NEW)
521204,110901,Subject Codes Valid at Level T,Computer Systems Networking and Telecommunications?ÿ(NEW)
521205,111099,Subject Codes Valid at Level G,"Computer/Information Technology Services Administration and Management, Other??ÿ(NEW)"
521205,111099,Subject Codes Valid at Level T,"Computer/Information Technology Services Administration and Management, Other??ÿ(NEW)"
